item_id	omeka_id	error
IL-MTFN-001-G-F-0053-004-R0002	8085	
IL-MTFN-001-G-F-0053-004-R0003	8086	
IL-MTFN-001-G-F-0053-004-R0004	8087	
IL-MTFN-001-G-F-0053-004-R0005	8088	
IL-MTFN-001-G-F-0054-001-R0001	8089	
IL-MTFN-001-G-F-0054-001-R0002	8090	
IL-MTFN-001-G-F-0054-001-R0003	8091	
IL-MTFN-001-G-F-0054-001-R0004	8092	
IL-MTFN-001-G-F-0055-001-R0001	8093	
IL-MTFN-001-G-F-0055-001-R0002	8094	
IL-MTFN-001-G-F-0055-001-R0003	8095	
IL-MTFN-001-G-F-0055-001-R0004	8096	
IL-MTFN-001-G-F-0056-001-R0001	8097	
IL-MTFN-001-G-F-0056-001-R0002	8098	
IL-MTFN-001-G-F-0056-001-R0003	8099	
IL-MTFN-001-G-F-0056-001-R0005	8100	
IL-MTFN-001-G-F-0056-001-R0006	8101	
IL-MTFN-001-G-F-0056-001-R0007	8102	
IL-MTFN-001-G-F-0057-001-R0002	8103	
IL-MTFN-001-G-F-0057-001-R0003	8104	
IL-MTFN-001-G-F-0057-001-R0005	8105	
IL-MTFN-001-G-F-0057-001-R0006	8106	
IL-MTFN-001-G-F-0057-001-R0007	8107	
IL-MTFN-001-G-F-0057-001-R0008	8108	
IL-MTFN-001-G-F-0058-001-R0001	8109	
IL-MTFN-001-G-F-0058-001-R0002	8110	
IL-MTFN-001-G-F-0059-001-R0001	8111	
IL-MTFN-001-G-F-0059-001-R0003	8112	
IL-MTFN-001-G-F-0060-001-R0001	8113	
IL-MTFN-001-G-F-0060-001-R0002	8114	
IL-MTFN-001-G-F-0061-001-R0001	8115	
IL-MTFN-001-G-F-0061-001-R0002	8116	
IL-MTFN-001-G-F-0061-001-R0003	8117	
IL-MTFN-001-G-F-0062-001-R0001	8118	
IL-MTFN-001-G-F-0062-001-R0002	8119	
IL-MTFN-001-G-F-0062-001-R0003	8120	
IL-MTFN-001-G-F-0062-001-R0004	8121	
IL-MTFN-001-G-F-0062-001-R0005	8122	
